city,state_name,county_name,population,zip_counts,trx_counts,presc_counts
ANAHEIM,CA,ORANGE,350365,16,82010,498
TRAVERSE CITY,MI,GRAND TRAVERSE,50522,3,32627,256
HELENA,MT,LEWIS AND CLARK,52936,6,10565,73
FRASER,MI,MACOMB,14480,1,560,11
PATERSON,NJ,PASSAIC,145233,15,19438,87
REHOBOTH BEACH,DE,SUSSEX,1546,1,2919,19
MUSCLE SHOALS,AL,COLBERT,14575,2,9872,25
SALINAS,CA,MONTEREY,190972,5,26601,194
BRENTWOOD,TN,WILLIAMSON,42783,2,8366,64
PEARLAND,TX,BRAZORIA,122460,5,11527,82
SHAKOPEE,MN,SCOTT,41570,1,3827,34
MIRAMAR,FL,BROWARD,141191,4,10627,96
JEFFERSON HILLS,PA,ALLEGHENY,11101,3,8124,43
OVIEDO,FL,SEMINOLE,41860,3,10904,49
SACO,ME,YORK,19964,1,4332,30
BROADLANDS,VA,LOUDOUN,13576,1,53,3
LEADINGTON,MO,ST. FRANCOIS,598,2,24,1
IRVINGTON,IL,WASHINGTON,613,2,722,3
BEDFORD,VA,BEDFORD,7240,1,2867,18
NEW WHITELAND,IN,JOHNSON,6241,1,1994,5
MEEKER,CO,RIO BLANCO,2252,1,543,6
GRANTSVILLE,WV,CALHOUN,513,1,2324,10
BENTON HARBOR,MI,BERRIEN,59216,2,2729,18
CUSTER,SD,CUSTER,1969,1,1798,6
LEWISTOWN,MO,LEWIS,512,1,2109,2
COALDALE,PA,SCHUYLKILL,2140,1,259,4
LITHIA SPRINGS,GA,DOUGLAS,18054,1,1144,7
GIBSON CITY,IL,FORD,3429,1,1794,12
PRINCETON,IL,BUREAU,7840,1,3836,14
PORTLAND,AR,ASHLEY,388,1,152,2
LAKESIDE PARK,KY,KENTON,2762,1,904,7
LAMONI,IA,DECATUR,2249,1,572,3
LAMAR,MO,BARTON,4294,1,4254,11
SHINGLETOWN,CA,SHASTA,2246,1,296,3
NARBERTH,PA,MONTGOMERY,4336,1,7221,9
NORTHUMBERLAND,PA,NORTHUMBERLAND,3607,1,597,4
AVONDALE,LA,JEFFERSON,5321,1,26,1
SWANTON,OH,FULTON,3858,1,1685,8
RESERVE,NM,CATRON,277,1,93,2
FRANKLIN PARK,IL,COOK,17627,1,1734,6
ECLECTIC,AL,ELMORE,1013,1,570,1
AIRMONT,NY,ROCKLAND,8786,3,289,6
TUSTIN,MI,OSCEOLA,217,1,274,2
SNOW HILL,MD,WORCESTER,2050,1,352,5
COULTERVILLE,IL,RANDOLPH,895,1,816,3
WRENS,GA,JEFFERSON,1939,1,695,2
ROMEOVILLE,IL,WILL,39746,2,299,6
GARDEN CITY,GA,CHATHAM,8713,3,38,2
CHATSWORTH,IL,LIVINGSTON,1115,1,311,2
BROOKLYN,NY,KINGS,2559903,37,589424,3027
OLYMPIA FIELDS,IL,COOK,4790,1,14654,78
NEW HAVEN,CT,NEW HAVEN,564830,24,44018,549
MENOMONEE FALLS,WI,WAUKESHA,38014,2,16590,87
WAYNESBURG,PA,GREENE,8227,1,4900,16
EAST CLEVELAND,OH,CUYAHOGA,16964,1,2070,14
CREVE COEUR,MO,ST. LOUIS,18622,2,3307,28
GAHANNA,OH,FRANKLIN,35483,1,12331,80
CLEVELAND HEIGHTS,OH,CUYAHOGA,43992,4,5611,34
ST. PAUL,MN,RAMSEY,308096,21,8390,73
WHITE SULPHUR SPRINGS,WV,GREENBRIER,2572,1,355,5
PLANT CITY,FL,HILLSBOROUGH,39744,4,20740,72
NATCHEZ,MS,ADAMS,26095,2,9363,38
BERRIEN SPRINGS,MI,BERRIEN,7060,1,647,5
MARSHALL,MI,CALHOUN,7548,1,8018,38
SULPHUR SPRINGS,TX,HOPKINS,16234,2,6925,24
STURGIS,SD,MEADE,6922,1,1991,12
HAMPTON BAYS,NY,SUFFOLK,14848,1,748,16
HATILLO,PR,HATILLO,4029,1,12338,45
TIPTON,PA,BLAIR,1544,2,397,2
ARROYO GRANDE,CA,SAN LUIS OBISPO,54177,2,3158,27
SHADYSIDE,OH,BELMONT,3547,1,69,1
EMINENCE,KY,HENRY,2581,1,3260,9
LYONS,GA,TOOMBS,4233,1,5666,10
PIGEON FORGE,TN,SEVIER,6266,2,1433,8
WONDER LAKE,IL,MCHENRY,4370,2,630,2
NORTH ARLINGTON,NJ,BERGEN,15683,1,2518,12
WILLOW CREEK,CA,HUMBOLDT,1513,1,868,5
RAMER,TN,MCNAIRY,296,1,987,1
WEST LINN,OR,CLACKAMAS,26736,1,2425,15
NEW SHARON,IA,MAHASKA,1293,1,81,1
MANY,LA,SABINE,2696,1,2345,8
NEWELLTON,LA,TENSAS,963,1,19,1
MERCER,PA,MERCER,3608,1,4767,8
AMELIA,OH,CLERMONT,5039,1,1753,5
LUMBERTON,MS,LAMAR,2218,1,267,4
ASHLAND,VA,HANOVER,7875,1,2568,11
SULLIVAN,IL,MOULTRIE,4560,1,4083,5
CORAM,NY,SUFFOLK,40311,4,1927,10
ENGLISH,IN,CRAWFORD,625,1,39,1
TUBAC,AZ,SANTA CRUZ,1375,2,15,1
CIMARRON,NM,COLFAX,881,1,25,1
OAKLAND,NE,BURT,1179,1,570,1
WOFFORD HEIGHTS,CA,KERN,2336,1,932,2
CHANNELVIEW,TX,HARRIS,43055,2,2549,4
INDIAN HEAD PARK,IL,COOK,3719,1,69,1
WHITNEY POINT,NY,BROOME,890,1,410,2
DEWEY,OK,WASHINGTON,3384,2,18,1
ROAN MOUNTAIN,TN,CARTER,1301,1,1584,4
BLACKVILLE,SC,BARNWELL,2189,1,74,2
SEVEN FIELDS,PA,BUTLER,2736,1,760,9
TENNILLE,GA,WASHINGTON,2123,1,416,4
PRIEST RIVER,ID,BONNER,1893,1,56,1
CANTON,MS,MADISON,14048,1,9303,24
EASTON,PA,NORTHAMPTON,27189,3,19220,104
RIVERSIDE,CA,RIVERSIDE,2107852,14,88458,547
HUGO,MN,WASHINGTON,15267,2,643,8
DANVILLE,VA,DANVILLE,45890,2,28862,136
MERRITT ISLAND,FL,BREVARD,36532,3,12128,69
MERIDIAN,ID,ADA,114161,3,21921,163
ROLLING MEADOWS,IL,COOK,23532,1,4973,27
SUNRISE,FL,BROWARD,95166,7,14008,87
TARRYTOWN,NY,WESTCHESTER,11370,1,2323,18
MIDDLETOWN,DE,NEW CASTLE,35695,1,3954,22
NORTH BABYLON,NY,SUFFOLK,17134,1,4883,23
OAK FOREST,IL,COOK,27173,1,1834,13
MENASHA,WI,WINNEBAGO,17873,1,6060,36
PORT ALLEN,LA,WEST BATON ROUGE,4743,1,2260,7
TEMECULA,CA,RIVERSIDE,114761,5,16708,110
SUN CITY,AZ,MARICOPA,38877,3,20794,109
SMITHFIELD,VA,ISLE OF WIGHT,10702,2,1001,6
GARWOOD,NJ,UNION,4352,1,1913,6
WINNEBAGO,IL,WINNEBAGO,2991,1,1353,3
GALLUP,NM,MCKINLEY,22917,2,4251,55
PINELLAS PARK,FL,PINELLAS,53637,6,11438,50
FORT LEE,NJ,BERGEN,38605,1,6297,46
ROSICLARE,IL,HARDIN,1014,1,1474,4
HURT,VA,PITTSYLVANIA,1223,1,3422,5
EVANS,CO,WELD,21205,3,922,15
POLK,PA,VENANGO,768,1,526,4
POINT PLEASANT,NJ,OCEAN,18772,1,322,3
CLARENDON HILLS,IL,DUPAGE,8752,1,465,5
BOARDMAN,OR,MORROW,3913,1,476,6
JEFFERSONVILLE,VT,LAMOILLE,768,1,285,1
UNIONVILLE,TN,BEDFORD,2109,2,295,1
BULL SHOALS,AR,MARION,1946,1,211,2
BARAGA,MI,BARAGA,1946,1,360,1
MULVANE,KS,SUMNER,6489,2,838,3
PARKER,PA,ARMSTRONG,802,1,582,5
BRISTOL,IN,ELKHART,1692,1,1211,4
BROOKSTON,IN,WHITE,1533,1,16,1
ALDERSON,WV,GREENBRIER,2500,1,1087,1
TROPHY CLUB,TX,DENTON,12451,1,500,6
GILA BEND,AZ,MARICOPA,2100,1,192,1
JUNCTION,TX,KIMBLE,2404,1,741,4
CHARENTON,LA,ST. MARY,1500,3,38,1
WEATHERLY,PA,CARBON,2458,1,375,2
MEDICINE BOW,WY,CARBON,259,1,63,1
OGLESBY,IL,LASALLE,3559,1,574,3
BLOOMSBURG,PA,COLUMBIA,49840,1,8450,29
LITTLE ROCK,AR,PULASKI,439815,22,127562,736
JACKSON,TN,MADISON,74065,4,64763,303
CLEVELAND,OH,CUYAHOGA,1710093,30,178946,1641
WEST PALM BEACH,FL,PALM BEACH,111955,9,55593,305
CEDAR FALLS,IA,BLACK HAWK,40536,2,10598,45
OLYMPIA,WA,THURSTON,200915,6,28561,258
LYNN,MA,ESSEX,94299,6,17148,119
KATONAH,NY,WESTCHESTER,1761,1,2091,22
KALISPELL,MT,FLATHEAD,39182,2,15411,139
WYTHEVILLE,VA,WYTHE,7921,1,9202,41
CHICO,CA,BUTTE,117668,6,24124,170
STAUNTON,VA,STAUNTON,59433,2,9482,36
GRAND ISLAND,NE,HALL,53296,2,24078,91
STONE MOUNTAIN,GA,DEKALB,6281,1,5439,36
YUKON,OK,CANADIAN,28084,2,8086,49
SOUTH PLAINFIELD,NJ,MIDDLESEX,24052,1,4103,30
THE VILLAGES,FL,SUMTER,79372,3,41233,162
AMERY,WI,POLK,2812,1,3921,17
PAGE,AZ,COCONINO,7529,2,768,10
BELLEFONTE,PA,CENTRE,12998,1,4269,18
CORTEZ,CO,MONTEZUMA,8736,1,1926,22
DACULA,GA,GWINNETT,6350,1,2313,12
GUAYNABO,PR,GUAYNABO,68024,7,19946,117
LEONARDTOWN,MD,ST. MARY'S,6182,2,2138,24
ATASCADERO,CA,SAN LUIS OBISPO,30075,2,3680,25
ELIZABETH CITY,NC,PASQUOTANK,22711,3,13797,63
MINSTER,OH,AUGLAIZE,2817,1,750,4
CAMUY,PR,CAMUY,4080,1,7010,27
FOSTORIA,OH,SENECA,14458,1,3184,12
WINCHESTER,IL,SCOTT,1467,1,106,2
COLORADO CITY,TX,MITCHELL,5533,1,2703,3
OWATONNA,MN,STEELE,25704,1,6850,41
ARLINGTON,IA,FAYETTE,399,1,163,2
TONASKET,WA,OKANOGAN,1121,1,627,9
MONROE,UT,SEVIER,2358,1,621,2
INDIALANTIC,FL,BREVARD,2908,1,1850,12
SOUTH WHITLEY,IN,WHITLEY,1741,1,2292,4
LAC DU FLAMBEAU,WI,VILAS,1522,1,336,4
SEFFNER,FL,HILLSBOROUGH,8362,2,4828,15
CUBA,NM,SANDOVAL,757,1,607,5
CLENDENIN,WV,KANAWHA,1100,1,605,6
BAYPORT,NY,SUFFOLK,8402,1,580,2
HUDSON,NC,CALDWELL,3709,1,909,7
CROWNPOINT,NM,MCKINLEY,2419,1,413,6
REPUBLIC,PA,FAYETTE,1152,1,567,2
MAYVILLE,ND,TRAILL,1802,1,497,4
KING CITY,MO,GENTRY,992,1,237,1
SPRING LAKE,NJ,MONMOUTH,2904,1,1302,4
BAYVILLE,NY,NASSAU,6732,1,30,2
DIAMOND,IL,GRUNDY,2506,1,224,2
COLFAX,WA,WHITMAN,2872,1,3964,10
HUMBLE,TX,HARRIS,15824,3,11105,86
TEMPLE,TX,BELL,107258,5,28963,287
ASHBURN,VA,LOUDOUN,49848,6,4172,43
PEMBROKE PINES,FL,BROWARD,173591,8,56571,277
TIFTON,GA,TIFT,24466,2,22914,88
EAST SANDWICH,MA,BARNSTABLE,3473,1,91,3
RIVERVIEW,MI,WAYNE,12032,1,5209,25
